Timestamp,,What Engineering program are you in?,What year are you in?,What is your gender?  **We're asking this to discover any gender biases in our questions**,"Are you happy with what your program provides you with (i.e. courses, job opportunities, projects, etc.)",What kind of problems do you enjoy solving?,Would you consider yourself as being creative?,"What industry can you see yourself working in, in the future? Select all that apply.",How comfortable are you working in the outdoors?,What can you see yourself doing in the future?,How do you feel about group work? ,What high school class did you enjoy the most?,What high school class did you enjoy the least?,How do you feel about computer programming?,What type of club would you consider joining?,What type of club would you NOT want to join?,What project would you want to be a part of? ,What project do you find the least interesting?,"If you could only watch one TV show for the rest of your life, what would it be?","If engineering didn’t exist, what would you consider studying?",How do you feel about working with expensive equipment?,How would you describe your drawing abilities?,You have an assignment to write an essay about anything you want. How does that make you feel?,Skill testing question: what is (4+2)x2 ?,What was the extent of your programming experience prior to entering Engineering at the University of Waterloo?
12/12/2019 20:23:33,uwaterloo.ca,Management Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I enjoy working with others.,Math,Language Arts,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Creating a battery from recycled material.,Prototyping a musical instrument for children with a disability.,Myth Busters,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,Minimal experience
1/16/2020 11:27:39,edu.uwaterloo.ca,Electrical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am very creative.,"Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I occasionally like working with others.,Math,Biology,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Student council (i.e. Engineering Society),Programming a robot that can make you dinner.,Prototyping a musical instrument for children with a disability.,Planet Earth,Economics,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,Minimal experience
1/16/2020 11:41:48,uwaterloo.ca,Electrical Engineering,1st year,Male,Yes,Problems that are well defined.,I am somewhat creative.,Technology (i.e. Working with cloud based software),"Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Math,Biology,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Optimizing the Uber Pool routes.,Designing an Olympic village.,Big Bang Theory,Math,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/18/2020 4:06:00,edu.uwaterloo.ca,Mechatronics Engineering,1st year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Math,Business,I can code but it's not my favourite thing to do.,Consulting club (i.e. DECA),Student council (i.e. Engineering Society),Prototyping a musical instrument for children with a disability.,Designing an Olympic village.,Breaking Bad,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/17/2020 23:00:02,edu.uwaterloo.ca,Architecture,4th year,Female,Yes,Problems that require some investigation.,I am very creative.,Architecture (i.e. Designing a building taller than the CN Tower),"Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Math,Physics,I don’t code and I have no desire to learn.,Art or design club (i.e. Fashion for Change),Autoshop club (i.e. Autonomoose Autonomous Car Club),Designing an Olympic village.,Programming a robot that can make you dinner.,Breaking Bad,Graphic Design,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/16/2020 14:29:30,edu.uwaterloo.ca,Architectural Engineering,1st year,Male,Yes,Problems with very limited information.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I enjoy working with others.,Physics,Biology,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,Minimal experience
1/22/2020 10:48:12,uwaterloo.ca,Electrical Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I occasionally like working with others.,Math,History,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Hacker club (i.e. UW Hacks),Designing a water treatment system for Mars.,Designing an Olympic village.,Myth Busters,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Excited! I can share my theories with the world.,,No experience
12/17/2019 13:18:16,uwaterloo.ca,Management Engineering,4th year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I would rather work inside.,Improving the way we use the world's resources.,I occasionally like working with others.,Math,Language Arts,I can code but it's not my favourite thing to do.,Consulting club (i.e. DECA),Autoshop club (i.e. Autonomoose Autonomous Car Club),Prototyping a musical instrument for children with a disability.,Programming a robot that can make you dinner.,Breaking Bad,Business,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/16/2020 14:54:23,uwaterloo.ca,Electrical Engineering,1st year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Math,Language Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Building the world’s most powerful supercomputer.,Optimizing the Uber Pool routes.,Myth Busters,Applied Science,That sounds cool!,I am not very good.,Excited! I can share my theories with the world.,,No experience
1/24/2020 15:54:07,uwaterloo.ca,Architectural Engineering,2nd year,Female,Yes,Problems that are well defined.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city)",I love the outdoors and wish I could work outside every day.,Designing buildings.,I enjoy working with others.,Visual Arts,Biology,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Robotics club (i.e. UW Robotics Team),Designing an Olympic village.,Designing a water treatment system for Mars.,Myth Busters,Graphic Design,That scares me and I don't want to touch it.,"Really good, I can draw just about anything.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
