architecture,automotive,business,construction,health,environment,manufacturing,technology,program,outdoors,career,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,drawing
0,0,0,0,0,0,0,0,8,2,5,10,6,4,5,1,0,1
0,0,0,0,0,1,0,0,-1,2,5,6,3,4,5,1,6,0
0,0,0,0,0,0,0,0,-1,2,0,8,6,8,0,1,3,2
0,0,0,0,0,0,0,0,-1,2,4,4,9,4,0,1,3,0
0,0,0,0,0,0,0,0,-1,1,5,8,10,1,0,1,4,0
0,0,0,0,0,0,0,0,-1,1,5,4,7,5,0,5,2,2
0,0,0,0,1,0,0,0,-1,2,4,1,3,5,2,4,5,0
0,0,0,0,0,0,0,0,8,2,5,4,7,4,0,1,3,2
0,0,0,0,0,0,0,0,-1,1,3,3,2,4,2,1,6,1
0,0,0,0,0,0,0,0,-1,1,6,1,7,7,4,3,0,2
0,0,0,0,0,0,0,0,8,1,0,5,1,4,5,2,5,1
0,0,0,0,0,0,0,0,-1,1,1,9,7,7,2,1,2,2
0,0,0,0,0,0,0,0,8,2,5,9,7,4,0,1,6,0
0,0,0,0,0,0,0,1,-1,1,4,8,1,5,2,5,1,2
0,0,0,0,0,0,0,0,8,2,5,5,7,8,1,2,1,2
0,0,0,1,0,0,0,0,8,2,5,9,7,4,0,1,6,2
0,0,0,0,0,0,0,0,-1,1,5,8,6,4,2,3,6,2
0,0,0,0,0,0,0,0,-1,1,3,7,0,6,1,6,0,0
0,0,0,0,0,0,0,0,8,2,5,8,10,1,0,1,6,0
0,0,0,0,0,0,0,0,-1,0,4,4,10,5,0,5,2,0
0,0,0,0,0,1,0,0,8,2,5,9,3,8,2,1,6,2
0,0,0,0,0,1,0,0,-1,2,5,3,7,4,3,1,5,0
0,0,0,0,0,0,1,0,8,2,5,1,7,7,2,2,6,0
0,0,0,0,0,0,0,1,-1,1,4,1,10,7,0,6,2,0
0,0,0,0,0,0,0,0,8,2,5,5,6,4,8,2,4,2
0,0,0,0,0,0,0,0,8,1,0,8,10,1,0,4,3,0
0,0,0,0,0,0,0,0,8,2,5,8,0,8,2,1,6,1
0,0,0,0,0,0,0,0,-1,1,6,8,1,7,2,4,2,0
0,0,0,0,0,1,0,0,8,2,5,9,1,8,5,2,6,2
0,0,0,1,0,0,0,0,8,2,2,8,1,3,8,2,0,2
0,0,0,0,0,0,0,0,-1,0,3,3,4,1,8,2,5,2
0,0,0,0,0,0,0,0,-1,1,6,9,7,1,0,5,1,2
0,0,0,0,0,0,0,0,-1,1,2,9,7,8,0,3,6,2
0,0,0,0,0,0,0,0,8,2,5,5,6,4,8,1,6,2
0,0,0,0,0,0,0,0,-1,1,2,9,5,1,0,4,6,2
0,0,0,0,0,0,0,0,8,2,5,9,1,1,8,2,3,2
0,0,0,0,0,0,0,0,-1,0,6,1,5,8,1,3,0,1
0,0,0,0,0,0,0,0,-1,2,2,8,7,7,4,5,6,2
0,0,0,0,0,0,0,0,-1,0,1,1,2,7,8,1,6,2
0,0,0,0,0,0,0,0,-1,1,6,4,6,7,0,4,0,0
0,0,0,1,0,0,0,0,8,2,2,8,1,3,8,2,0,2
