alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
1,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,5
8,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,5
8,0,0,0,1,0,0,0,0,5
13,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,1,-1
10,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,5
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,5
11,0,0,0,0,0,0,0,0,-1
7,1,0,0,0,0,0,0,0,5
14,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,0,-1
4,0,0,0,1,0,0,0,0,5
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,1,-1
6,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,1,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
1,0,0,0,1,0,0,0,0,5
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
8,0,0,0,1,0,0,0,0,5
11,0,0,0,0,1,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
7,0,0,0,0,0,0,0,0,5
3,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,5
8,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,1,0,0,-1
5,0,0,0,0,0,0,0,0,5
2,0,1,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,-1
5,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,1,0,0,5
5,0,0,0,0,1,0,0,0,-1
8,0,0,0,0,0,0,0,0,5
6,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,1,-1
2,0,0,0,1,0,0,0,0,5
5,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,-1
5,0,0,0,0,0,0,0,0,5
8,0,0,0,0,0,0,0,0,5
1,0,0,0,1,0,0,0,0,5
8,1,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,0,5
14,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,5
13,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
13,0,0,0,1,0,0,0,0,5
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,5
0,0,0,0,1,0,0,0,0,5
4,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,1,5
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,-1
3,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,5
8,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,-1
0,0,1,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,5
0,0,0,0,0,1,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
3,0,0,0,1,0,0,0,0,5
6,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,5
3,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,-1
6,0,0,0,1,0,0,0,0,5
0,0,0,0,0,0,0,0,0,-1
14,0,0,0,0,0,0,0,0,5
8,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,5
3,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
14,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,-1
9,0,0,0,1,0,0,0,0,5
2,0,0,0,1,0,0,0,0,5
12,0,0,0,0,0,0,0,0,5
6,0,0,0,1,0,0,0,0,5
1,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,5
13,0,0,0,1,0,0,0,0,5
12,0,0,0,1,0,0,0,0,5
7,0,0,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,0,5
13,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,1,0,0,-1
2,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,0,5
11,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,5
3,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,5
2,0,0,0,0,1,0,0,0,-1
3,0,0,0,0,0,0,0,1,-1
13,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,5
7,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
