alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
11,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
8,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,1,11
5,1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
4,0,1,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,11
11,0,0,0,0,0,0,0,0,11
3,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
2,0,1,0,0,0,0,0,0,-1
12,0,0,1,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,0,11
11,0,0,0,0,0,0,1,0,-1
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,1,-1
3,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,0,11
5,0,0,0,0,0,1,0,0,-1
2,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,0,11
1,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
4,0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
3,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,11
3,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,11
8,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,11
11,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
8,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
13,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,11
7,0,0,0,0,0,1,0,0,11
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
9,0,0,0,0,0,0,0,0,11
3,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,1,11
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,11
3,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,11
6,0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
8,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,11
1,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,1,0,11
0,0,0,0,0,0,0,0,0,-1
14,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,1,11
4,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,1,0,0,-1
8,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,11
5,0,0,0,0,0,0,0,0,11
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,11
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,1,0,0,0,11
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
5,0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
5,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,1,11
2,0,0,0,0,0,0,0,1,-1
3,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,11
7,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,11
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
5,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,0,11
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,11
5,0,0,0,0,0,0,0,0,11
1,0,0,1,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,1,11
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,11
8,0,0,0,0,0,0,0,0,11
3,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,11
