alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
4,0,0,0,0,0,0,0,0,14
3,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,1,14
2,0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,14
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
1,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,0,14
9,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,1,14
2,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
5,0,0,0,0,0,1,0,0,-1
13,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,14
11,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,1,14
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
2,0,1,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
11,0,0,0,0,1,0,0,0,-1
8,0,0,0,0,0,0,0,0,14
8,0,0,0,0,0,0,0,0,14
13,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,1,-1
2,0,1,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,-1
7,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,14
14,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,14
3,1,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,14
12,0,1,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,14
14,0,0,0,0,0,0,0,1,14
2,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
7,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,14
8,1,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
1,0,1,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,1,0,14
2,0,0,0,0,0,0,0,0,14
8,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
0,0,0,0,0,1,0,0,0,14
2,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,14
6,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
1,0,0,0,0,0,0,0,0,14
12,0,0,0,0,0,0,0,0,-1
1,0,1,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,14
5,0,0,0,0,0,0,0,0,14
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,14
1,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
10,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
6,0,0,0,0,0,0,0,0,14
13,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,14
3,0,0,0,0,0,0,0,1,-1
5,0,0,0,0,0,0,0,0,14
8,0,0,0,0,0,0,0,0,-1
