alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
3,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,1,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,1,6
12,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,1,6
4,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
9,0,0,0,1,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,6
2,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,-1
11,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,0,-1
7,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,1,6
2,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,1,0,-1
5,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,1,6
1,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,1,6
11,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,1,6
8,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,1,0,0,6
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
5,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
14,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
13,0,0,0,0,0,1,0,0,6
13,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
1,0,0,1,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,6
2,0,0,0,0,0,0,0,1,-1
5,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
5,1,0,0,0,0,0,0,0,-1
10,1,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
3,0,0,0,0,0,0,0,1,6
11,0,0,0,0,0,0,0,1,6
3,0,0,0,0,0,0,0,0,6
12,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,1,6
