alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,7
13,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,1,0,-1
11,0,0,0,0,0,0,0,0,7
11,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,7
5,0,0,0,0,0,1,0,0,7
0,0,0,0,0,0,1,0,0,7
0,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,7
8,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,1,0,0,7
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,7
3,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,7
13,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
3,1,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,7
1,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,7
5,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,7
2,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,1,0,0,7
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,7
2,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,1,0,0,7
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,7
5,0,0,0,0,0,1,0,0,7
0,0,0,0,0,0,1,0,0,7
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,7
5,0,0,0,0,0,0,0,0,-1
13,0,0,0,1,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,7
5,0,0,0,0,0,0,0,0,7
