alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
0,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,12
1,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,0,12
11,0,0,0,0,1,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,12
12,0,1,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,12
6,0,0,0,1,0,0,0,0,-1
5,0,0,0,0,0,1,0,0,-1
2,0,0,0,0,0,0,0,1,12
8,0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,12
6,0,0,0,1,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,0,-1
14,0,0,1,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
12,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,12
8,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,0,12
8,0,0,0,0,0,0,0,1,-1
6,0,0,0,0,0,0,0,0,12
8,0,0,0,0,0,0,0,0,12
4,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,0,12
14,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
1,0,0,0,0,0,0,1,0,-1
2,0,0,0,0,0,0,0,1,12
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,12
8,0,0,0,0,1,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,12
12,0,0,0,0,0,0,0,1,12
8,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,1,0,0,-1
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
3,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,12
8,0,0,0,0,0,0,0,0,12
3,0,1,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,1,12
13,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,1,12
2,0,0,0,0,0,0,0,0,12
