architecture,automotive,business,construction,health,environment,manufacturing,technology,program
0,0,0,0,1,0,0,1,-1
0,1,0,0,0,0,0,1,-1
0,0,0,0,1,1,1,0,4
0,0,0,0,0,1,0,0,4
0,0,1,0,0,1,0,0,-1
0,0,0,1,1,1,1,0,4
0,1,0,0,0,1,1,0,4
0,0,0,0,0,1,0,0,-1
0,1,1,0,0,1,1,0,4
0,1,1,1,0,0,1,1,-1
0,1,1,0,1,0,0,1,4
0,0,0,0,0,1,0,1,4
0,0,0,0,0,0,0,1,-1
0,0,1,0,1,0,0,0,-1
0,0,0,0,0,0,1,0,-1
0,0,0,0,0,0,1,0,4
0,0,0,0,1,0,0,1,4
0,0,0,0,0,1,1,0,4
0,0,1,0,0,0,1,1,-1
0,0,0,0,1,1,0,1,4
0,0,1,0,1,1,1,0,4
0,1,1,0,0,0,1,1,-1
0,0,1,0,0,1,1,0,4
0,0,0,0,1,0,0,0,4
0,0,1,0,1,1,1,1,4
0,0,0,0,1,0,0,0,-1
0,0,0,0,1,1,0,0,4
1,0,0,0,0,1,0,0,-1
0,1,0,0,0,1,0,0,-1
0,0,0,0,1,1,0,0,4
0,0,1,1,0,1,0,0,-1
1,0,0,1,1,1,0,0,-1
0,1,1,0,0,1,1,0,4
0,0,0,0,1,1,0,1,4
0,0,0,0,0,1,0,0,-1
0,0,1,1,0,1,0,0,-1
0,1,0,0,0,1,1,0,4
0,0,1,1,0,1,1,0,4
1,0,1,1,0,0,0,0,-1
0,0,1,0,0,1,1,0,4
0,0,0,0,1,1,1,0,4
0,0,1,1,0,1,1,0,4
0,0,1,0,1,1,1,1,-1
0,0,1,0,1,1,0,0,4
0,0,0,0,1,1,1,1,4
0,1,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,4
0,1,0,0,1,1,0,1,-1
0,0,0,0,0,0,1,0,4
0,0,1,0,1,1,0,0,-1
0,1,0,0,0,1,1,0,4
0,0,1,0,0,0,1,1,-1
0,1,0,0,1,1,0,1,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,1,0,4
0,0,0,0,0,1,0,0,4
0,1,0,0,0,0,0,1,-1
0,1,0,0,1,0,1,1,-1
0,1,0,0,1,0,1,1,-1
0,0,0,0,0,1,1,0,4
0,0,1,0,0,0,1,1,-1
0,0,1,0,0,1,0,0,4
0,0,0,0,1,1,0,0,4
0,1,0,0,1,1,1,0,4
0,1,0,0,0,0,1,1,-1
1,0,1,0,0,0,0,0,-1
1,0,0,1,0,1,0,0,-1
1,0,1,1,0,1,0,0,-1
0,0,0,0,1,1,1,0,4
0,0,1,0,0,1,1,0,4
0,0,1,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,-1
0,0,1,0,0,0,0,1,-1
1,0,1,1,0,1,1,0,4
0,1,1,0,1,0,0,1,-1
0,0,0,0,1,0,0,1,-1
0,0,1,0,0,1,1,0,4
0,1,0,0,0,1,1,0,4
0,0,0,0,0,1,0,0,4
0,0,1,0,1,1,1,0,4
0,0,1,0,0,0,0,1,-1
0,0,0,0,1,1,1,0,4
0,0,0,1,0,1,1,0,4
0,0,0,0,1,0,1,0,4
0,0,0,1,0,1,0,0,-1
0,0,0,0,0,0,1,0,4
0,0,0,0,0,1,1,0,4
0,1,0,0,0,1,0,1,-1
0,0,1,0,0,1,0,1,4
0,0,0,0,1,0,1,1,-1
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,1,1,0,4
0,0,0,0,1,0,0,1,-1
0,1,1,0,1,1,1,1,4
0,0,0,0,0,0,0,1,-1
0,0,1,0,0,0,0,0,-1
0,1,1,0,1,1,1,0,4
0,0,1,0,0,1,1,0,4
0,0,0,0,1,0,0,1,-1
0,0,1,0,1,1,1,1,4
0,0,0,0,0,1,1,0,4
0,0,1,0,0,0,0,0,-1
0,0,1,0,1,1,0,0,-1
0,0,1,0,1,0,1,1,-1
1,1,1,1,0,1,1,0,-1
0,1,0,0,0,0,1,1,-1
0,0,0,1,0,1,0,0,-1
0,0,1,0,0,1,1,0,4
0,0,0,0,0,1,0,0,4
0,0,0,0,0,0,1,0,4
1,1,1,1,1,1,1,0,-1
0,1,0,0,1,0,1,0,-1
1,1,0,0,0,0,1,0,-1
0,0,1,0,0,1,1,1,-1
0,0,0,0,1,1,1,0,4
0,1,1,0,1,1,1,1,-1
0,0,0,0,0,0,1,1,-1
0,1,0,0,0,1,1,0,-1
0,1,0,0,1,0,0,1,-1
0,0,0,0,0,0,1,0,4
0,0,0,0,0,0,0,1,-1
1,0,0,1,0,1,0,0,-1
0,1,0,0,1,1,1,0,4
1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,4
0,0,0,1,0,0,0,0,-1
0,0,1,0,0,1,1,0,4
0,0,0,1,0,0,0,0,-1
0,0,1,0,0,0,1,1,4
0,1,0,0,0,0,0,1,-1
0,0,0,0,0,1,1,0,4
0,0,0,0,0,1,1,0,4
0,1,1,0,1,0,1,1,-1
0,0,0,0,0,1,1,0,4
0,0,0,0,1,0,0,1,4
1,0,0,1,0,0,0,0,-1
0,0,0,0,1,1,1,0,4
1,0,1,1,0,1,0,0,-1
0,1,0,1,0,1,1,1,-1
0,0,0,1,0,1,1,0,-1
0,0,0,0,1,1,1,0,4
0,1,0,0,1,0,1,1,-1
1,0,0,0,1,0,1,0,4
0,0,0,0,0,0,1,1,4
0,0,0,0,1,1,1,0,4
0,1,1,0,0,1,1,0,-1
0,0,1,0,1,1,0,1,-1
0,0,0,0,0,1,1,1,4
1,0,1,1,0,0,0,0,-1
0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,-1
0,0,1,0,1,1,1,0,4
0,0,1,0,0,1,1,0,4
0,1,0,0,1,1,1,1,-1
0,1,1,0,1,1,1,0,4
0,0,1,0,0,1,1,0,4
0,1,1,0,1,0,1,1,-1
0,0,0,0,0,0,1,0,4
0,0,0,0,0,0,0,1,-1
0,0,0,0,1,0,1,1,4
0,1,1,1,0,0,1,1,-1
0,0,0,0,1,1,1,0,4
1,0,0,1,0,1,0,0,-1
0,0,0,0,0,1,1,0,4
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,4
0,0,0,0,1,1,0,0,4
0,0,1,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,-1
0,0,1,0,1,0,1,1,4
0,0,0,0,0,0,1,0,4
0,0,0,0,1,1,1,0,4
0,0,0,0,0,0,1,0,4
0,0,0,0,1,1,0,1,-1
