problem_type,creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,tv_shows,alternate_degree,expensive_equipment,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,2,2,5,1,9,1,8,5,2,6,6,5,2,2,0,0,0,0,0,0,1,0,0,8
0,2,2,0,2,1,2,0,1,1,6,5,8,2,2,1,0,0,0,1,0,0,0,0,8
0,2,2,2,2,9,6,7,8,1,6,4,1,2,1,0,0,1,0,1,0,0,1,1,-1
2,0,2,5,2,10,4,0,5,1,6,5,14,2,2,2,0,0,0,1,0,0,0,0,8
0,2,1,5,2,2,3,7,5,1,4,1,6,2,0,0,0,0,1,0,0,1,0,0,-1
2,0,2,5,2,9,3,8,2,1,6,5,5,0,2,2,0,0,0,0,0,1,0,0,8
2,0,2,5,2,5,6,4,8,1,6,5,7,2,2,0,0,0,0,1,0,1,0,0,8
2,0,0,6,1,4,7,7,6,5,2,5,14,0,1,1,0,0,0,0,0,1,0,1,-1
2,2,2,5,2,9,7,4,0,1,6,0,1,2,2,2,0,0,0,1,0,0,0,0,8
0,2,2,5,1,9,6,4,2,1,6,1,5,0,2,1,0,0,0,0,0,1,0,0,-1
2,2,0,1,2,3,9,4,8,0,4,0,8,0,2,1,0,0,0,0,1,1,0,0,-1
2,2,0,2,1,8,1,7,2,1,6,4,0,2,2,1,0,1,0,0,0,0,1,0,-1
0,0,1,0,2,5,1,4,5,2,5,2,7,0,1,0,1,0,1,1,0,1,0,0,8
0,0,1,5,1,8,7,4,5,0,5,5,11,2,2,2,0,0,0,0,1,1,1,0,-1
0,2,2,5,2,9,1,4,2,1,6,4,5,0,2,0,0,0,0,1,0,1,0,0,8
2,0,2,5,1,8,0,8,2,1,6,0,5,0,1,2,1,0,0,0,0,1,0,0,8
0,2,1,5,0,6,4,1,5,0,3,3,2,2,1,2,0,0,1,0,0,0,0,0,-1
1,2,2,5,2,8,0,8,0,6,3,4,11,0,0,0,0,0,0,1,0,1,0,0,8
0,1,2,0,2,9,10,8,0,1,6,4,1,0,0,0,1,0,1,1,0,1,0,0,8
2,2,1,4,1,9,1,7,0,4,0,5,2,0,2,1,0,1,0,0,0,0,0,1,-1
1,0,1,6,2,6,10,7,0,5,6,6,2,2,2,2,0,1,1,1,1,0,1,1,-1
1,0,2,3,2,9,6,0,5,1,3,5,7,0,0,1,1,0,0,1,0,1,0,0,8
2,2,2,3,2,9,7,4,0,1,4,5,5,2,2,1,1,0,0,1,0,1,0,1,-1
1,0,2,2,1,9,7,4,0,1,6,4,1,2,1,1,1,0,1,1,0,1,0,0,-1
0,1,0,2,0,7,5,4,0,1,2,5,13,0,1,2,1,1,1,1,1,1,1,1,8
0,2,1,6,1,4,6,7,0,4,0,5,0,2,2,1,0,1,0,0,0,0,1,1,-1
2,0,2,5,2,10,1,0,8,0,3,5,14,2,1,1,0,0,1,1,0,1,0,0,8
1,0,2,0,2,9,6,3,0,1,3,6,1,2,2,2,0,0,0,1,0,1,0,1,8
0,2,1,5,1,8,7,4,2,6,4,5,2,2,2,0,0,1,0,0,1,1,1,1,-1
0,2,0,4,1,4,4,1,2,4,2,5,2,2,0,2,0,0,0,0,0,0,0,1,-1
2,2,2,5,1,4,7,4,0,1,3,0,0,2,2,0,1,0,0,1,0,1,0,0,8
2,1,2,5,2,1,7,7,2,2,6,5,0,0,0,1,0,0,0,0,0,0,1,0,8
2,2,2,5,2,5,6,4,8,2,4,3,0,2,2,0,0,0,1,1,0,1,0,0,8
2,0,2,2,1,0,7,1,5,1,4,4,0,0,2,2,0,0,0,1,0,0,1,0,-1
2,0,2,5,2,9,1,1,8,2,3,4,13,2,2,2,1,0,0,1,0,1,1,0,8
2,2,1,5,1,1,8,4,5,0,6,4,5,0,2,1,0,1,0,0,0,1,0,0,-1
2,0,2,3,2,8,1,0,2,3,4,5,11,0,1,1,0,0,1,0,0,1,1,0,-1
0,0,1,4,2,4,1,7,0,5,2,6,2,2,1,0,0,0,0,0,0,0,0,1,-1
2,2,1,1,0,8,7,5,2,5,3,5,11,0,1,1,0,0,0,0,0,1,1,1,-1
2,2,2,5,2,8,7,3,8,1,3,1,6,0,0,2,0,0,1,1,0,1,0,0,8
2,0,2,5,1,10,6,4,5,1,0,4,5,2,1,1,0,0,0,1,0,1,0,0,8
2,2,2,5,2,9,7,4,0,1,6,5,0,2,0,0,1,0,0,1,0,1,0,0,8
2,2,2,5,2,5,7,8,1,2,1,5,0,2,2,1,0,0,0,1,0,1,0,0,8
0,1,1,6,2,9,7,7,0,5,3,4,13,2,0,1,0,1,0,0,0,0,1,1,-1
2,2,2,5,2,3,1,5,8,2,4,3,4,0,2,1,0,0,1,1,0,1,0,1,8
2,2,2,5,2,9,7,4,0,1,6,0,1,2,1,2,0,0,0,1,0,0,0,0,8
2,1,2,5,1,8,10,1,0,1,6,1,0,2,0,1,0,1,0,1,0,1,0,0,8
2,2,1,5,2,1,6,4,8,1,5,2,8,0,2,0,0,0,1,1,1,1,0,0,-1
2,2,1,2,1,8,6,8,2,1,5,0,1,2,2,1,0,0,0,0,0,0,1,0,-1
2,2,2,2,1,10,3,1,2,3,6,4,0,0,2,1,0,1,0,0,1,1,1,1,-1
0,2,1,6,1,10,5,0,4,4,1,3,2,0,2,1,1,1,1,0,1,0,1,1,-1
2,0,1,2,2,6,7,1,0,4,2,5,1,2,2,2,0,1,1,0,0,0,1,1,-1
