alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
4,0,1,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,6
2,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,0,-1
7,0,0,0,0,0,0,0,0,6
6,0,0,0,0,0,0,0,0,6
14,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,1,6
8,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
1,1,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,1,0,0,6
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,6
2,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,6
14,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,1,0,0,6
0,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,1,-1
5,1,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
14,1,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,6
3,0,0,0,0,0,0,0,1,6
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,0,6
5,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,1,6
1,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,1,6
2,0,0,0,0,0,0,0,0,6
6,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
4,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,6
8,0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,1,6
11,0,0,0,0,0,0,0,1,6
11,0,0,0,0,0,0,0,1,6
1,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,1,0,0,0,-1
3,0,0,0,0,0,0,0,1,6
5,0,0,0,0,0,0,0,0,6
14,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,6
4,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
10,1,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,1,6
5,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
4,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,1,6
4,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,6
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,0,-1
1,0,0,1,0,0,0,0,0,6
3,0,0,0,0,0,0,0,1,-1
4,0,0,0,0,0,0,0,0,6
4,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,6
