alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
13,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,0,8
2,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,8
7,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,8
6,0,0,0,0,0,0,0,0,8
5,0,0,0,0,0,1,0,0,8
2,0,0,0,0,0,0,0,0,-1
12,1,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,0,-1
11,0,0,0,0,0,0,0,0,8
13,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,8
9,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,-1
1,0,0,0,1,0,0,0,0,-1
7,0,0,0,0,0,0,0,0,8
5,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
12,0,0,0,0,0,0,0,0,-1
7,0,0,0,0,0,1,0,0,8
7,0,0,0,1,0,0,0,0,8
1,0,0,0,1,0,0,0,0,8
5,0,0,0,0,0,0,0,0,8
7,0,0,0,0,0,1,0,0,8
7,0,0,0,0,0,0,0,0,8
14,0,0,0,1,0,0,0,0,8
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,8
2,0,1,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
7,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,-1
8,0,0,0,1,0,0,0,0,8
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
7,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,-1
11,0,1,0,0,0,0,0,0,-1
11,0,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
7,0,0,0,1,0,0,0,0,8
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,1,0,0,0,0,8
11,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,1,0,0,8
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
5,0,0,0,0,0,0,0,0,8
2,0,0,0,0,0,0,0,1,-1
1,0,0,0,1,0,0,0,0,8
11,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,8
14,0,0,0,0,0,0,0,0,8
7,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,-1
7,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
2,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,8
5,0,0,0,0,0,1,0,0,8
5,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,8
1,0,0,0,1,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
