problem_type,creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,tv_shows,alternate_degree,expensive_equipment,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,2,1,0,2,9,3,0,8,1,6,1,8,2,2,0,1,0,0,1,0,1,0,0,1
2,2,1,0,1,8,3,8,2,3,6,3,11,2,0,1,1,0,1,1,1,0,0,1,1
0,2,1,0,1,10,7,0,3,2,5,2,0,2,1,0,1,0,0,1,0,1,0,0,1
0,2,1,6,2,8,7,7,0,5,6,4,0,2,0,2,0,1,0,0,0,0,0,1,-1
2,0,1,0,1,9,1,0,5,2,4,3,14,0,1,0,1,0,0,1,0,0,0,0,1
0,1,1,6,1,8,5,7,0,1,2,6,2,2,0,0,0,1,0,0,1,0,1,1,-1
2,0,1,0,1,3,1,8,5,1,5,5,9,0,1,1,0,0,0,1,0,0,0,0,-1
1,0,1,0,2,9,1,7,0,1,6,2,0,2,2,1,1,0,0,1,0,0,0,0,1
2,0,0,6,2,1,5,8,1,3,0,2,3,0,1,2,0,0,1,0,1,0,1,1,-1
0,0,0,3,1,3,4,1,8,2,5,4,10,2,2,1,1,0,0,1,0,0,1,0,1
0,2,1,2,2,8,5,7,2,1,6,3,11,0,2,1,1,1,0,1,0,1,1,1,-1
2,0,1,6,2,4,7,7,2,4,2,4,2,2,1,0,0,1,0,0,1,0,0,1,-1
0,2,1,6,1,10,5,0,4,4,1,3,2,0,2,1,1,1,1,0,1,0,1,1,-1
0,2,1,4,1,8,6,7,2,4,4,4,2,0,2,2,0,0,0,0,0,0,0,1,-1
0,2,1,0,1,8,9,8,6,2,6,2,11,2,2,1,1,0,0,0,0,0,0,0,1
2,0,1,4,2,8,6,0,2,4,0,2,8,0,1,1,0,0,0,0,1,0,0,1,-1
2,0,1,0,2,9,6,0,5,2,5,3,5,2,2,1,1,0,1,1,0,0,0,0,1
2,2,1,5,2,10,7,4,5,0,4,2,8,0,2,1,1,0,0,1,1,1,0,1,-1
2,0,1,6,2,8,7,7,0,1,3,4,11,2,2,0,0,0,0,0,0,0,0,1,-1
2,2,0,3,2,3,0,0,7,2,3,5,6,0,2,0,1,0,0,0,0,1,0,0,1
2,2,1,0,2,10,7,4,5,1,6,2,0,0,1,1,1,0,1,1,0,1,0,0,1
2,2,1,5,2,5,2,4,2,1,5,0,5,0,2,1,0,0,0,0,0,1,0,0,1
2,0,1,0,2,10,1,4,5,2,0,0,3,2,1,1,1,0,0,0,0,0,0,0,1
2,2,1,0,1,8,3,8,5,3,0,4,13,0,2,1,1,0,1,1,0,0,0,0,1
0,0,2,5,1,8,6,4,7,1,5,5,5,0,1,2,0,0,0,0,0,1,0,0,-1
2,2,0,6,2,8,6,1,2,1,2,4,2,2,0,1,0,1,1,0,1,0,1,0,-1
2,2,1,2,1,8,10,7,8,1,6,5,11,2,0,0,0,0,0,0,1,0,1,1,-1
2,0,1,6,2,8,7,8,2,4,1,1,0,0,2,2,0,0,1,0,0,0,1,1,-1
2,0,1,0,2,8,1,8,2,2,6,3,0,0,1,2,1,0,0,1,0,0,0,0,1
2,2,1,0,1,9,3,4,1,1,4,5,14,2,2,1,1,0,1,1,0,1,0,1,1
