alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
1,0,0,0,0,0,0,0,0,10
13,0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,1,10
2,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,10
3,0,1,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,10
12,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,1,0,-1
11,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,1,10
2,0,0,0,0,0,0,0,0,-1
1,0,0,1,0,0,0,0,0,10
3,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
9,0,0,0,0,0,0,0,1,10
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
10,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
4,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,10
13,0,0,0,0,0,0,1,0,10
11,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,10
5,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-1
12,1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,1,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,10
4,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,1,10
4,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
6,0,0,0,1,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,10
10,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
5,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,10
2,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,-1
6,0,0,1,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
14,0,0,0,0,0,0,1,0,10
11,0,0,0,0,0,0,0,0,10
5,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,-1
1,0,0,1,0,0,0,0,0,10
5,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
7,0,0,1,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,10
13,0,0,0,0,0,0,1,0,-1
2,0,0,0,0,0,0,0,1,10
12,0,1,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,10
2,0,0,0,0,0,0,0,0,10
4,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
3,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,1,0,0,-1
4,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,1,-1
13,1,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,10
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,10
6,0,0,1,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,-1
1,0,0,1,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,10
4,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,1,10
11,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,1,10
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,1,10
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
4,1,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,10
12,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,1,10
