architecture,automotive,business,construction,health,environment,manufacturing,technology,program
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,1,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,1,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,-1
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,1,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,-1
0,0,1,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,1,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,1,0,0,0,-1
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,-1
