alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
0,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,3
5,0,0,0,0,0,0,0,0,-1
3,1,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,-1
6,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,3
11,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,-1
1,0,1,0,0,0,0,0,0,3
14,0,0,0,0,0,1,0,0,-1
9,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,1,0,0,0,-1
7,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,1,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,-1
4,0,0,0,1,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
8,0,0,0,0,0,0,0,0,-1
4,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
12,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,1,3
14,0,0,0,1,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,3
8,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,3
5,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,1,-1
9,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,3
11,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,1,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,3
5,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,1,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1
13,0,0,0,1,0,0,0,0,3
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
4,0,0,0,0,0,0,0,1,3
14,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
11,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
3,0,0,0,0,0,0,0,0,-1
0,0,1,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,3
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,1,3
11,0,0,0,0,0,0,1,0,3
8,0,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,1,3
8,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,1,0,0,-1
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
13,1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
11,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,-1
11,0,0,0,0,0,0,0,1,3
11,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
11,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
6,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,1,3
4,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,-1
10,0,0,0,0,0,0,0,0,-1
14,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,1,-1
3,0,0,0,0,0,0,0,0,-1
2,0,1,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,1,3
11,0,0,0,0,0,0,0,1,-1
6,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,-1
