architecture,automotive,business,construction,health,environment,manufacturing,technology,program
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,9
0,0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,-1
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,1,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,1,0,0,0,-1
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,1,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,1,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,1,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,1,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,-1
0,0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,1,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,1,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,1,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,1,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,1,0,0,0,9
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
