architecture,automotive,business,construction,health,environment,manufacturing,technology,program
1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,1,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,1,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,1,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,1,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,12
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,12
