,RR,accuracy,t3
nb_le_f0_d0_b0_c0_v0,0.5025720840006555,0.3047619047619048,0.44126984126984126
nb_ohe_f0_d0_b0_c0_v0,0.5025720840006555,0.3047619047619048,0.44126984126984126
lrr_le_f0_d0_b0_c0_v0,0.5334261505690077,0.34285714285714286,0.4738095238095238
lrr_ohe_f0_d0_b0_c0_v0,0.5334261505690077,0.34285714285714286,0.4738095238095238
svm_le_f0_d0_b0_c0_v0,0.8792967614396185,0.7666666666666667,0.8738095238095238
svm_ohe_f0_d0_b0_c0_v0,0.8912187019329877,0.7666666666666667,0.8857142857142857
nb_le_f1_d0_b0_c0_v0,0.4774612292469435,0.26666666666666666,0.4087301587301587
nb_ohe_f1_d0_b0_c0_v0,0.4594258254972541,0.2619047619047619,0.3865079365079365
lrr_le_f1_d0_b0_c0_v0,0.4780932823789967,0.28095238095238095,0.4166666666666667
lrr_ohe_f1_d0_b0_c0_v0,0.47339000946143805,0.23809523809523808,0.4150793650793651
svm_le_f1_d0_b0_c0_v0,0.8234315948601663,0.7142857142857143,0.8095238095238095
svm_ohe_f1_d0_b0_c0_v0,0.8059259259259259,0.680952380952381,0.7888888888888889
tree_le_f1_d0_b0_c0_v0,0.41800725729297156,0.20952380952380953,0.3373015873015873
tree_ohe_f1_d0_b0_c0_v0,0.44586204800490514,0.24285714285714285,0.38095238095238093
