,RR,accuracy,reassignment,t3
nb_le_f0_d0_b0_c1_v0,0.37499212427783857,0.23333333333333334,0.673170731707317,0.2920634920634921
nb_ohe_f0_d0_b0_c1_v0,0.37499212427783857,0.23333333333333334,0.673170731707317,0.2920634920634921
lrr_le_f0_d0_b0_c1_v0,0.39515337836766407,0.22857142857142856,0.6682926829268292,0.3206349206349206
lrr_ohe_f0_d0_b0_c1_v0,0.39515337836766407,0.22857142857142856,0.6682926829268292,0.3206349206349206
svm_le_f0_d0_b0_c1_v0,0.39501514358657214,0.22857142857142856,0.697560975609756,0.31587301587301586
svm_ohe_f0_d0_b0_c1_v0,0.39501514358657214,0.22857142857142856,0.697560975609756,0.31587301587301586
nb_le_f1_d0_b0_c1_v0,0.37648592148592147,0.21428571428571427,0.6536585365853659,0.29523809523809524
nb_ohe_f1_d0_b0_c1_v0,0.38262348762348763,0.22857142857142856,0.6585365853658536,0.2976190476190476
lrr_le_f1_d0_b0_c1_v0,0.37923039923039925,0.20952380952380953,0.7024390243902439,0.30158730158730157
lrr_ohe_f1_d0_b0_c1_v0,0.39229976372833514,0.21904761904761905,0.7463414634146341,0.319047619047619
svm_le_f1_d0_b0_c1_v0,0.3718648150791008,0.20476190476190476,0.6536585365853659,0.2849206349206349
svm_ohe_f1_d0_b0_c1_v0,0.39156860335431765,0.22857142857142856,0.7024390243902439,0.3111111111111111
tree_le_f1_d0_b0_c1_v0,0.3492350110207253,0.16666666666666666,0.8682926829268293,0.2650793650793651
tree_ohe_f1_d0_b0_c1_v0,0.33553724053724054,0.15714285714285714,0.7707317073170732,0.26031746031746034
