,RR,accuracy,reassignment,t3,top10,top11,top12,top13,top14,top15,top2,top3,top4,top5,top6,top7,top8,top9
nb_le_f0_d0_b0_c36_v0,0.4733242551099694,0.2904761904761905,0.8666666666666667,0.40555555555555556,0.9,0.9142857142857143,0.9333333333333333,0.9666666666666667,0.9952380952380953,1.0,0.44285714285714284,0.5523809523809524,0.6142857142857143,0.6904761904761905,0.7761904761904762,0.8095238095238095,0.8428571428571429,0.8714285714285714
nb_ohe_f0_d0_b0_c36_v0,0.6529290022147165,0.47619047619047616,0.8,0.6158730158730159,0.9714285714285714,0.9809523809523809,0.9857142857142858,0.9904761904761905,0.9952380952380953,1.0,0.6952380952380952,0.7857142857142857,0.8333333333333334,0.8809523809523809,0.919047619047619,0.9476190476190476,0.9666666666666667,0.9714285714285714
lrr_le_f0_d0_b0_c36_v0,0.49495963031677315,0.3142857142857143,0.7666666666666666,0.42936507936507934,0.9,0.9333333333333333,0.9523809523809523,0.9523809523809523,0.9809523809523809,1.0,0.49047619047619045,0.5714285714285714,0.638095238095238,0.7142857142857143,0.7666666666666667,0.8285714285714286,0.861904761904762,0.8809523809523809
lrr_ohe_f0_d0_b0_c36_v0,0.6289925814925815,0.44761904761904764,0.7,0.5841269841269842,0.9619047619047619,0.9714285714285714,0.9857142857142858,0.9952380952380953,0.9952380952380953,1.0,0.6666666666666666,0.7476190476190476,0.819047619047619,0.8714285714285714,0.9095238095238095,0.9428571428571428,0.9571428571428572,0.9619047619047619
svm_le_f0_d0_b0_c36_v0,0.469894166679881,0.28095238095238095,0.9,0.3976190476190476,0.919047619047619,0.9428571428571428,0.9619047619047619,0.9761904761904762,0.9904761904761905,1.0,0.40476190476190477,0.5476190476190477,0.6238095238095238,0.719047619047619,0.780952380952381,0.8380952380952381,0.8714285714285714,0.8952380952380953
svm_ohe_f0_d0_b0_c36_v0,0.6245029045029045,0.38571428571428573,0.8333333333333334,0.5817460317460318,0.9809523809523809,0.9857142857142858,0.9904761904761905,0.9952380952380953,0.9952380952380953,1.0,0.6333333333333333,0.7714285714285715,0.8523809523809524,0.8904761904761904,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9714285714285714
nb_m2_f0_d0_b0_c36_v0,0.5907099249956392,0.40476190476190477,0.7666666666666666,0.5349206349206349,0.9761904761904762,0.9761904761904762,0.9809523809523809,0.9904761904761905,0.9952380952380953,1.0,0.6047619047619047,0.6952380952380952,0.8095238095238095,0.861904761904762,0.8809523809523809,0.9095238095238095,0.9380952380952381,0.9666666666666667
lrr_m2_f0_d0_b0_c36_v0,0.5822052682766968,0.3952380952380952,0.8,0.5365079365079365,0.9619047619047619,0.9714285714285714,0.9761904761904762,0.9809523809523809,0.9809523809523809,1.0,0.6047619047619047,0.7142857142857143,0.7571428571428571,0.8047619047619048,0.8761904761904762,0.9047619047619048,0.9285714285714286,0.9523809523809523
svm_m2_f0_d0_b0_c36_v0,0.5305147233718662,0.2904761904761905,0.8,0.46746031746031746,0.9476190476190476,0.9761904761904762,0.9904761904761905,0.9952380952380953,0.9952380952380953,1.0,0.5333333333333333,0.6285714285714286,0.7333333333333333,0.7857142857142857,0.8285714285714286,0.8714285714285714,0.9,0.9285714285714286
nb_m3_f0_d0_b0_c36_v0,0.5510513296227582,0.3619047619047619,0.9,0.4984126984126984,0.9333333333333333,0.9523809523809523,0.9809523809523809,0.9809523809523809,0.9857142857142858,1.0,0.5523809523809524,0.6761904761904762,0.7380952380952381,0.8095238095238095,0.8523809523809524,0.8952380952380953,0.9047619047619048,0.919047619047619
lrr_m3_f0_d0_b0_c36_v0,0.5868614718614719,0.4,0.8333333333333334,0.542063492063492,0.9619047619047619,0.9666666666666667,0.9761904761904762,0.9761904761904762,0.9761904761904762,1.0,0.6047619047619047,0.7238095238095238,0.7666666666666667,0.8285714285714286,0.8809523809523809,0.9142857142857143,0.9333333333333333,0.9476190476190476
svm_m3_f0_d0_b0_c36_v0,0.4437705151990866,0.24761904761904763,0.9,0.36666666666666664,0.9047619047619048,0.9476190476190476,0.9666666666666667,0.9809523809523809,0.9857142857142858,1.0,0.4,0.5,0.5904761904761905,0.6428571428571429,0.719047619047619,0.8047619047619048,0.8333333333333334,0.8761904761904762
nb_m4_f0_d0_b0_c36_v0,0.4812183451469166,0.29523809523809524,0.8,0.4087301587301587,0.9142857142857143,0.9333333333333333,0.9571428571428572,0.9761904761904762,0.9857142857142858,1.0,0.4714285714285714,0.5476190476190477,0.638095238095238,0.7428571428571429,0.7714285714285715,0.8047619047619048,0.8571428571428571,0.8857142857142857
lrr_m4_f0_d0_b0_c36_v0,0.518115601329887,0.3380952380952381,0.7666666666666666,0.45714285714285713,0.919047619047619,0.9476190476190476,0.9571428571428572,0.9809523809523809,0.9952380952380953,1.0,0.5095238095238095,0.6095238095238096,0.6761904761904762,0.7619047619047619,0.8047619047619048,0.8333333333333334,0.8571428571428571,0.8761904761904762
svm_m4_f0_d0_b0_c36_v0,0.4573645666502809,0.2571428571428571,0.8333333333333334,0.37857142857142856,0.919047619047619,0.9523809523809523,0.9666666666666667,0.9761904761904762,0.9952380952380953,1.0,0.40476190476190477,0.5190476190476191,0.6190476190476191,0.7095238095238096,0.7857142857142857,0.8238095238095238,0.8714285714285714,0.8904761904761904
nb_m5_f0_d0_b0_c36_v0,0.49355767248624394,0.3238095238095238,0.8,0.43015873015873013,0.9142857142857143,0.9238095238095239,0.9571428571428572,0.9714285714285714,0.9952380952380953,1.0,0.44761904761904764,0.580952380952381,0.6571428571428571,0.719047619047619,0.7571428571428571,0.8,0.8333333333333334,0.8761904761904762
lrr_m5_f0_d0_b0_c36_v0,0.49296082224653653,0.3047619047619048,0.8,0.4365079365079365,0.9095238095238095,0.9428571428571428,0.9523809523809523,0.9761904761904762,0.9809523809523809,1.0,0.47619047619047616,0.6142857142857143,0.680952380952381,0.7238095238095238,0.7666666666666667,0.7952380952380952,0.8238095238095238,0.8761904761904762
svm_m5_f0_d0_b0_c36_v0,0.48982225446511163,0.2904761904761905,0.8333333333333334,0.41825396825396827,0.9285714285714286,0.9333333333333333,0.9619047619047619,0.9666666666666667,0.9904761904761905,1.0,0.46190476190476193,0.5666666666666667,0.6666666666666666,0.7428571428571429,0.8,0.861904761904762,0.8761904761904762,0.9142857142857143
